,year,month,day,hour,bitcoin
562,2015,1,24,7,37
563,2015,1,24,8,44
564,2015,1,24,9,33
565,2015,1,24,10,37
566,2015,1,24,11,27
567,2015,1,24,12,36
568,2015,1,24,13,35
569,2015,1,24,14,53
570,2015,1,24,15,41
571,2015,1,24,16,51
572,2015,1,24,17,51
573,2015,1,24,18,76
574,2015,1,24,19,52
575,2015,1,24,20,45
576,2015,1,24,21,62
577,2015,1,24,22,41
578,2015,1,24,23,53
579,2015,1,25,0,53
580,2015,1,25,1,59
581,2015,1,25,2,66
582,2015,1,25,3,51
583,2015,1,25,4,51
584,2015,1,25,5,61
585,2015,1,25,6,37
586,2015,1,25,7,13
587,2015,1,25,8,29
588,2015,1,25,9,32
589,2015,1,25,10,16
590,2015,1,25,11,45
591,2015,1,25,12,42
592,2015,1,25,13,28
593,2015,1,25,14,38
594,2015,1,25,15,34
595,2015,1,25,16,53
596,2015,1,25,17,30
597,2015,1,25,18,71
598,2015,1,25,19,50
599,2015,1,25,20,78
600,2015,1,25,21,54
601,2015,1,25,22,69
602,2015,1,25,23,52
603,2015,1,26,0,61
604,2015,1,26,1,66
605,2015,1,26,2,79
606,2015,1,26,3,89
607,2015,1,26,4,54
608,2015,1,26,5,55
609,2015,1,26,6,89
610,2015,1,26,7,71
611,2015,1,26,8,77
612,2015,1,26,9,40
613,2015,1,26,10,50
614,2015,1,26,11,44
615,2015,1,26,12,43
616,2015,1,26,13,75
617,2015,1,26,14,61
618,2015,1,26,15,82
619,2015,1,26,16,91
620,2015,1,26,17,74
621,2015,1,26,18,63
622,2015,1,26,19,88
623,2015,1,26,20,61
624,2015,1,26,21,84
625,2015,1,26,22,76
626,2015,1,26,23,73
627,2015,1,27,0,73
628,2015,1,27,1,59
629,2015,1,27,2,58
630,2015,1,27,3,69
631,2015,1,27,4,77
632,2015,1,27,5,75
633,2015,1,27,6,55
634,2015,1,27,7,61
635,2015,1,27,8,61
636,2015,1,27,9,33
637,2015,1,27,10,49
638,2015,1,27,11,31
639,2015,1,27,12,43
640,2015,1,27,13,51
641,2015,1,27,14,48
642,2015,1,27,15,53
643,2015,1,27,16,58
644,2015,1,27,17,51
645,2015,1,27,18,47
646,2015,1,27,19,51
647,2015,1,27,20,47
648,2015,1,27,21,54
649,2015,1,27,22,49
650,2015,1,27,23,72
651,2015,1,28,0,45
652,2015,1,28,1,52
653,2015,1,28,2,78
654,2015,1,28,3,92
655,2015,1,28,4,67
656,2015,1,28,5,61
657,2015,1,28,6,54
658,2015,1,28,7,22
